33001,25区商业街,704路,489246.762509000020000,2495996.067780000200000
37681,25区商业街,M209路,489252.404944000010000,2495990.515550000100000
13347,25区商业街,高峰专线9路,489269.334500000000000,2495963.678789999800000
37035,301总站,B837路,482662.250493000030000,2509708.081939999900000
37048,301总站,B837路,482649.977851999980000,2509761.248900000000000
42340,310总站,M351路,479481.800896000000000,2512051.768960000000000
27656,310总站,M415路,479514.431938000020000,2511958.482450000000000
35636,310总站,B716路,479503.439231999980000,2512030.044199999900000
41952,310总站,M341路,479484.170546000010000,2512057.224429999900000
40565,310总站,M284路,479503.846168000020000,2512027.283110000200000
39780,310总站,M284路,479485.904388000020000,2512048.727030000200000
42266,310总站,M351路,479507.729355000020000,2512013.392219999800000
27720,310总站,M415路,479499.240640999980000,2512038.618650000100000
27419,310总站,M413路,479506.838556999980000,2511963.137490000100000
27329,310总站,M413路,479501.999587000000000,2512028.696479999900000
42121,310总站,M341路,479508.958226000020000,2512010.863669999900000
35663,310总站,B716路,479478.526491000030000,2512060.134279999900000
42547,312总站,M288路,508531.081975999990000,2513981.604100000100000
17027,312总站,312路,508529.639018999990000,2513981.963670000000000
42421,312总站,M288路,508531.391005999990000,2513980.712729999800000
45631,328工业区,932路,522189.957912000010000,2504638.586800000200000
45705,328工业区,932路,522229.890503000000000,2504652.985729999800000
2630,351路临时站台,351路,527372.403662999980000,2515104.872179999900000
2633,351路临时站台,351路,527386.452521999950000,2515064.756000000100000
21021,371总站,B741路,514202.599800000030000,2499960.142750000100000
19924,388工业区,979路,514423.388679000030000,2506088.226480000200000
16337,388工业区,372路,514426.164272000020000,2506085.076789999800000
22961,388工业区,M265路,514422.764748000020000,2506093.856980000200000
26636,388工业区,M283路,514425.441240000010000,2506088.270539999900000
19873,388工业区,979路,514423.374906999990000,2506097.743330000000000
46616,388工业区,深惠3线,514431.507408000000000,2506008.832729999900000
22812,388工业区,M265路,514426.589305999980000,2506075.015440000200000
23830,388工业区,M270路,514419.128218000000000,2506124.432970000000000
18883,388工业区,881路,514430.321233999970000,2506049.089360000100000
21173,388工业区,881路,514420.495065000020000,2506101.997440000100000
15932,388工业区,372路,514420.198565000030000,2506094.133899999800000
26172,388工业区,M283路,514426.161235000010000,2506087.179360000000000
46773,388工业区,深惠3线,514424.815706999970000,2506095.007650000000000
7737,50小区,B619左环路,524446.476749000020000,2495397.879149999900000
7754,50小区,B619右环路,524388.361603999980000,2495357.797420000200000
18987,968工业区,906路,523350.512215000000000,2506132.196430000000000
18974,968工业区,906路,523403.735645000010000,2506149.618670000200000
42310,98工业区,M291路,481476.977970000010000,2511141.461490000100000
35390,98工业区,782路,481516.920540000020000,2511315.589259999800000
42466,98工业区,M291路,481515.691761000020000,2511324.226170000200000
35375,98工业区,782路,481477.931018000000000,2511170.672150000000000
39530,98工业区,M237路,481472.102492999980000,2511104.962580000100000
39416,98工业区,M237路,481515.879238000020000,2511304.306179999800000
3255,tcl国际e城,37路,492366.296594000010000,2496100.505909999800000
13075,tcl国际e城,高峰专线62路,492362.911486000000000,2496101.698840000200000
13032,tcl国际e城,高峰专线62路,492353.894172000000000,2496082.599469999800000
13100,tcl国际e城,M492路,492359.226889999990000,2496083.855520000200000
11394,tcl国际e城,B796路,492370.706498000010000,2496101.312130000000000
13141,tcl国际e城,M492路,492365.373048999990000,2496101.605899999800000
11448,tcl国际e城,B796路,492333.894130999980000,2496084.001070000200000
13976,tcl国际e城,M475路,492355.322142000020000,2496100.979880000000000
13954,tcl国际e城,M475路,492356.968605000000000,2496088.265650000000000
3238,tcl国际e城,37路,492352.766086000020000,2496082.369909999900000
